Demo_spol,Demo_starost,Demo_regija,Q1a_1_other
2,24,1,Telekom
2,24,10,T2
2,21,7,telekom
2,19,8,A1
1,30,7,a1
1,24,4,telemach
1,17,7,Telemach
1,29,12,hot
2,27,8,A1
2,29,8,Telekom
1,24,8,t2
1,22,1,Telekom
2,30,8,Telemach
2,30,8,Telemach
2,29,1,Telekom
2,29,9,Bob
1,22,2,t2
2,20,9,A1
2,27,5,Hofer
2,30,8,A1
2,18,12,T2
2,29,4,telekom
2,26,2,Telemach
1,25,2,telekom
2,24,8,Telekom
1,24,2,telemach
2,21,2,A1
2,21,4,Telekom
2,19,10,Telekom Slovenije
2,30,7,A1
2,21,5,Telekom
1,26,8,Telemach
1,27,8,Telekom
1,27,1,Telekom
2,26,4,Telemah
2,24,1,A1
1,24,6,A1
1,30,4,Telekom
1,24,8,telekom
2,24,2,Telekom
1,28,7,Telekom
1,25,2,HoT
1,25,4,T-2
1,21,8,Telekom
2,19,7,telekom
2,21,12,A1
2,24,8,A1
1,25,8,Telekom
1,22,7,Iphone
2,22,9,Telemach
2,23,6,Telemach
2,18,4,Telekom
1,29,8,Telekom
2,18,2,telekom
1,24,5,Telemach
1,28,8,Telemach
2,21,5,Telekom
1,28,8,T-2
1,30,2,A1
1,29,6,A1
2,21,2,t2
2,25,9,A1
1,19,9,T2
2,23,7,telekom
1,23,7,Telemach
2,46,4,Telekom
1,52,2,Hot
1,34,2,A1
1,34,2,Telekom
2,53,5,Telemach
1,43,4,Telekom
1,32,2,Telekom
1,41,4,A1
2,35,8,A1
2,44,5,T2
1,52,9,Telemach
1,54,10,T2
2,44,2,A1
1,54,12,Mobitel
2,45,4,mobitel
1,44,2,Telelom
2,46,2,bob
2,46,7,t2
2,38,8,bob
1,51,2,telekom
1,39,4,T2
1,34,8,Telemach
2,42,1,A1
1,48,4,Telekom
1,54,2,Telekom
2,33,8,Bob
1,52,9,Telemach
1,48,12,t2
1,38,6,A1
2,52,6,Telekom
2,50,3,telekom
2,32,2,Telemach
2,54,1,telekom
2,43,8,Telemach
1,33,4,Telekom
1,44,6,Hot telekom
1,47,8,Telemach
2,31,8,Telemach
1,39,8,telemach
1,38,2,telekom
2,50,11,Izi
1,31,8,Telemach
1,49,5,telemach
2,50,4,Hot
2,43,7,Simobil
2,54,12,Telekom
2,48,4,telemach
2,33,4,Bob
2,41,2,Mobitel
1,44,9,bob
2,55,8,telekom
2,46,12,bob
2,52,8,A1
2,46,2,Hot
2,40,4,Telemach
1,34,7,A1
1,34,2,Telekom slovenije
2,33,2,Telemach
1,34,11,Bob
1,45,6,Mobitel
2,40,3,telekom
2,55,2,Bob
2,38,8,A1
1,51,12,t2
1,40,10,Telekom Slovenije
2,49,4,a1
2,46,7,A1
2,54,7,t2
1,45,7,t-2
2,50,7,A1
1,32,8,Telekom
2,31,12,simobil
1,54,8,Telemah
2,39,7,T2
1,47,9,telekom
1,52,9,TELEKOM
1,40,8,telekom
1,40,12,Telekom
2,40,4,Telekom
1,35,8,Telekom
2,54,8,Telekom
2,35,4,A1
2,39,8,Telekom
2,44,12,a1
2,36,8,T2
2,49,8,Bob
2,50,11,Telemach
2,49,8,A1
2,49,6,T2
2,36,4,Telekom Slovenije
1,48,7,A1
2,33,12,Hot
2,43,8,Telemach
1,42,4,Telemach
2,45,8,Telemach
1,49,4,Telemach
1,36,3,telekom
1,36,8,T-2
2,46,11,A1
1,34,8,A1
1,43,8,telemach
2,45,3,A1
1,43,6,Telekom
1,45,11,Hot
1,39,6,Telemach
1,38,2,A1
1,49,8,A1
1,43,8,T2
1,36,1,Telemach
1,41,12,Telekom
1,47,5,a1
1,39,8,a1
1,49,6,T-2
2,41,10,Bob
2,41,11,Telekom
1,47,8,Telemach
1,48,10,Telekom
1,44,8,Telekom
1,42,8,A1
1,42,8,a1
1,49,3,a1
2,52,2,a1
1,43,8,A1
1,45,2,telemach
1,44,2,telekonm
1,50,4,A1
2,34,2,Bob
1,44,8,a1
1,40,6,Mibitel
2,35,9,A1
2,49,4,Telekom
1,48,8,A1
1,48,10,Telekom
1,43,6,Telekom
1,47,9,A1
1,42,9,t-2
1,43,2,Telekom
1,53,4,a1
2,39,8,a1
1,31,3,bob
1,38,2,Telekom Slovenije
1,33,9,Telemach
1,33,1,Telekom
2,44,4,Telekom
2,38,4,telemach
1,33,2,A1
2,53,7,A1
2,36,2,Telemach
2,36,2,T2
2,40,8,A1
1,33,1,A1
2,40,2,telekom
1,33,11,bob
2,36,8,telemach
2,54,8,T2
2,51,12,A1
2,34,3,Bob
2,54,4,a1
2,36,3,A1
1,52,4,A1
2,38,4,Telemach
1,31,11,a1
2,54,8,t2
2,55,4,Telemah
2,55,1,telemach
1,64,2,A1
2,57,9,bob
1,61,8,Telekom
1,56,4,Telemach
2,58,10,a1
1,62,7,T2
1,74,11,mobitel
2,70,12,Bob
1,63,1,Telemach
1,75,8,hot
1,71,8,telemah
2,64,4,A1
2,62,8,Telekom
1,61,4,T2
2,65,4,Telemah
2,72,3,telekom
2,65,2,TELEKOM
1,66,1,Telemach
2,61,5,Telekom
2,56,9,Bob
1,57,2,mobitel
2,66,8,Telemach
2,67,5,Telekom
1,61,3,teleko
2,61,8,Telekom
2,73,7,Telekom
1,75,8,Telemach
2,72,9,Hot
1,59,3,telemah
2,69,8,Telekom
2,59,9,T2
2,68,12,Telemach
1,62,12,Telekom
2,66,6,A1
2,72,2,telemach
1,66,11,telekom
2,68,4,telemach
2,70,8,telekom
1,66,2,telekom
2,58,2,BOB
2,61,4,Telemach
2,69,2,TELEMACH
2,61,4,T2
1,66,2,telekom
2,68,1,T-2
1,70,8,Telekom
2,67,8,Telemach
1,57,1,A1
1,65,4,mobitel
2,74,4,telemach
2,68,11,IZI
2,58,5,A1
2,67,9,Diol
2,60,9,Mobitel
1,57,8,telekom
1,66,2,telekom
1,64,4,A1
1,61,9,A1
2,59,2,A1
1,68,2,telekom
2,62,8,a 1
1,66,8,telekom
1,62,11,tekekom
2,57,8,T2
1,58,5,Telekom
1,56,2,krs
1,60,2,telemach
2,64,7,Telekom
1,73,8,telekom
2,75,8,Telemach
2,71,8,Telemach
2,69,2,A1
1,64,7,A1
2,68,8,T2
2,56,8,Telekom
2,57,2,a1
2,61,9,T2
2,68,12,T2
1,60,8,A1
2,72,5,A 1
1,57,1,telekom
1,72,3,T-2
2,56,4,Telekom
2,65,8,A1
2,58,12,Telemach
2,64,8,A1
2,62,2,Telekom
2,67,5,A1
1,68,9,telekom
1,64,8,telemach
1,69,1,telemach
2,60,8,t2
2,59,8,A1
2,71,11,Telekom
1,65,2,Telekom
2,73,8,A1
1,56,1,Telekom
1,69,1,Telemach
2,68,4,Telemach
2,69,4,Telekom
1,61,8,Telekom Slovenije
1,71,8,Telekom
1,63,8,Telekom
2,59,8,TELEKOM
2,66,8,Telekom
1,70,8,mobitel
1,65,2,Telemach
1,66,9,Telemach
1,60,5,a1
1,70,9,t-2
1,69,11,A1
2,57,1,Mobitel
1,68,8,Telemah
1,61,9,Hot
1,63,2,A1
2,60,8,Telekom
2,56,2,telekom
1,65,8,Telekom
1,56,4,Telemah
2,26,2,Telemach
1,34,1,A1
2,21,9,T2
1,52,2,A1
2,22,9,Telemach
1,44,3,Telekom
1,24,8,Telemach
1,52,12,telemach
2,58,2,Hot
2,53,6,Telekom
2,40,2,Mobitel
2,45,12,Telekom
1,56,8,Telemach
2,33,2,Telemach
1,55,8,Telemach
2,60,8,Telekom
1,58,10,telekom
2,21,8,a1
1,65,2,Telekom
1,20,8,A1
2,62,5,Telemach
2,25,8,Bob
2,55,9,Telekom
1,64,2,Telemach
2,57,9,Bob
2,52,8,Telekom
1,46,8,telekom
1,57,7,Bob
1,57,8,Hofer mobil
2,42,8,Telekom
1,33,2,T2
1,24,7,A1
1,65,9,Telemach
1,20,8,telemach
1,44,7,t-2
1,56,8,Telekom
2,65,7,A1
2,22,4,a1
1,63,8,telemach
1,46,2,Telemach
1,58,8,telekom
2,63,7,Telekom
2,55,1,A1
1,51,8,Izi
2,53,1,telekom
1,60,9,telekom
1,61,1,telekom
1,44,11,Telekom
1,48,5,telemach
2,44,4,Telekom
1,62,8,Telemach
1,39,9,Telemach
2,28,1,Telekom
1,51,2,Hot
1,48,2,Telemah
1,58,9,telekom
1,59,2,TELEMACH
2,42,8,Telemach
2,59,8,Telemach
2,32,8,Telemach
1,49,8,Telekom
1,62,5,T-2
1,56,2,telekom
1,52,8,telemach
2,41,1,Telemach
1,45,8,Telemah
2,27,7,Mobitel
1,56,4,A1
2,47,2,Telekom
2,53,4,Telemach
1,62,9,a1
2,23,1,A1
1,29,9,A1
1,49,8,Telemach
1,29,8,T2
2,35,8,A1
1,55,4,Telemach
1,47,10,Telekom
2,60,7,Telemah
1,23,8,t2
1,58,4,Telekom
2,33,8,telekom
1,62,1,Telekom
1,35,4,Bob
1,52,8,Telemach
1,32,2,Telemach
1,54,8,T2
1,53,10,T2
1,63,2,A1
1,63,7,A1
2,58,11,Bob
1,55,8,Telemach
1,46,8,Telemach
1,63,2,Telemach
2,64,8,Telekom
2,56,8,Telekom Slovenija
1,55,10,telekom
2,39,9,Telekom
2,28,8,Telekom
2,60,3,Hofer
2,23,2,Telemach
1,60,2,a1
2,51,1,Telemach
1,18,8,Telemach
1,45,8,Bob
2,54,11,A1
2,55,7,T2
2,63,4,A1
1,31,8,bob
1,33,8,Telekom
2,21,9,T2
1,40,11,telekom
1,51,8,T2
2,64,5,Telekom
1,29,10,A1
1,57,9,Telemach
2,23,4,Bob
1,48,5,telemach
2,20,2,A1
2,61,9,Telekom
2,22,9,A1
2,24,4,Telecom
2,33,7,A1
2,21,8,Bob
2,63,8,Telemach
1,48,8,A1
2,53,7,t2
2,29,8,Hot mobil
2,56,1,Telemach
1,51,8,T2
2,49,2,telemach
2,48,2,A1
2,50,12,A1
1,44,1,Telemach
1,24,2,Telekom
2,46,8,Telekom
1,65,11,telekom
1,34,7,T2
1,23,11,Telekom Slovenije
2,67,1,T-2
1,63,7,Telekom
2,36,12,Telekom Slovenije
1,47,8,A1
2,18,12,T2
2,68,8,T-2
1,73,9,telekom
1,70,8,Telekom
2,64,2,T2
2,55,8,Telekom
1,51,1,bob
1,59,5,A1
1,34,8,a1
1,39,5,A1
2,74,11,telekom
1,47,5,mobitel
1,67,8,bob
2,44,12,Sparmobil
1,74,8,hofer
1,73,11,telemah
2,68,8,T2
2,51,2,Telekom
1,48,3,telemah
1,55,8,T2
2,31,2,telekom
1,57,8,Telekom
1,34,4,Telemach
2,30,7,A1
1,27,2,A1
1,28,12,Hot
2,21,2,telemach
2,35,8,Hofer
1,23,8,A1
2,35,2,Telemach
2,39,9,Telemach
1,37,9,A1
2,32,2,Telemach
2,19,4,Hot
1,30,8,Telemach
2,43,6,Telekom
2,37,2,Telekom
1,42,6,Telekom
1,30,2,Telemach
2,31,9,telekom
1,31,8,Huawei
2,40,8,Telekom Slovenije
2,47,5,telemach
2,47,4,Telemach
2,68,8,Telemach
2,50,8,Izi mobil
1,37,8,Telekom
2,48,1,Telmach
2,71,9,Hot
1,40,8,A 1
1,48,4,tečemach
2,32,2,Bob
1,65,9,T2
2,34,2,Telekom Slovenije
2,38,12,A1
1,43,3,Telekom
2,42,8,Telekom
1,29,1,Telekom
1,21,1,Telekom
2,40,11,A1
1,19,12,Hofer
1,68,9,A1
2,41,2,Telemach
1,25,8,A1
1,34,1,Bob
1,28,8,A1
1,45,8,Telekom
1,38,8,a1
2,28,9,T2
2,39,1,Telemach
2,46,8,T2
1,38,9,Telekom
2,66,1,Telemach
2,37,8,A1
1,38,8,t2
1,28,8,telekom
2,23,9,A1
2,43,1,T2
1,40,8,A1
2,34,12,Telekom
2,45,7,telemach
1,43,1,Telemach
2,29,2,Telekom
1,26,8,Telekom
1,35,2,Telekom slovenija
1,37,2,telekom
1,33,7,A1
2,41,3,bob
1,23,7,A1
2,63,2,Telemach
1,45,9,T2
1,42,6,Telekom
1,24,2,Telekom
1,66,2,telmach
1,32,2,Telemach
2,39,3,Bob
2,16,8,Telekom Slovenije
2,40,8,Telekom
2,33,8,A1
1,43,11,Telekom
2,46,8,Telekom
2,18,3,A1
1,63,7,Telemach
2,22,7,Telekom
2,34,2,Telemach
1,30,3,bob
1,71,12,T2
2,49,4,A1
1,49,4,telekom
1,18,8,T2
1,28,8,Telemach
1,55,4,Telemach
2,66,9,Telekom
1,29,4,Hot
1,45,4,A1
1,37,8,Telekom
1,35,8,Telekom
2,67,11,Siol
1,25,8,Telemach
2,51,4,T2
2,71,2,Telekom
1,28,8,telekom
1,15,7,A1
2,53,8,Telekom
1,37,2,Telekom Slovenije
1,43,2,telekonm
1,35,3,telemach
2,69,7,T2
2,45,5,telekom
1,33,2,Hofer
2,60,2,Telemach
2,31,9,Hot
1,33,8,Telemach
2,34,4,Telemach
2,66,5,A1
1,43,9,Bob
2,67,2,Telenach
1,43,7,Telemach
2,58,8,A1
2,42,11,Telekom
2,28,1,A1
2,33,4,Telekom
2,33,8,Hot
2,46,2,telemach
2,67,8,A1
2,43,11,Telekom
2,47,4,T2
2,40,8,Telekom
2,27,8,A1
1,66,2,bob
1,67,2,telekom
2,46,2,A1
2,17,8,T2
2,44,5,A1
2,69,8,a 1
2,26,4,Telekom slovenije
2,67,5,TELEMACH
1,42,8,A1
2,68,2,A1
2,67,9,Telemach
1,33,11,A1
1,45,10,Bob
2,65,1,Telekom
2,69,8,Telekom
2,49,7,HOT
1,69,1,telemach
2,49,8,Telekom
2,47,7,A1
1,17,2,t2
2,68,3,a1
2,27,4,A1
1,72,8,telekom
2,68,2,T2
2,57,2,T2
1,24,10,Bob
1,48,8,telekom
2,70,2,telemach
1,43,8,Hot
1,33,8,telekom
2,63,9,a1
1,60,12,telekom
2,64,4,Telemah
2,23,8,Telekom
1,68,11,telemah
2,72,8,A1
2,18,8,T-2
1,49,4,Telekom
1,41,12,Telecom
1,24,10,simobil
1,35,11,Telekom
1,25,2,A1
2,23,8,Telekom
1,50,9,t2
2,57,8,Telekom
1,22,8,telekom
1,75,8,Telekom
1,56,5,T-2
2,53,8,A1
1,70,8,TELEKOM
1,54,5,telemach
2,69,7,T2
1,70,2,a1
1,68,1,telemach
2,66,9,Telekom
1,22,7,telekom
2,58,8,A1
1,69,9,a1
2,67,4,telekom
1,29,3,A1
1,45,8,a1
1,46,10,Mobitel
2,67,4,Telekom
2,67,8,A1
2,27,8,Izimobil
2,52,11,Telemach
1,47,9,hot hofer
2,58,12,A1
1,63,8,a1
2,58,4,TELEKOM
2,21,8,hot
2,20,8,Telekom
2,50,8,Telemah
1,41,9,t2
2,38,8,A1
1,46,8,T2
2,32,9,T2
1,50,8,Aq
1,46,9,a1
1,44,11,t2
1,41,8,HoT
2,46,11,hofer
2,44,4,A1
1,49,9,Bob
2,43,1,T2
2,75,8,T2
1,56,6,Telemah
1,66,4,Telemach
1,62,4,telekom
2,69,8,hot
1,29,4,telekom
2,27,2,A1
1,30,2,Telemach
1,20,9,Telekom
1,32,2,Bob
2,36,2,spar
2,34,8,bob
1,42,8,Bob
2,51,2,A1
2,32,2,Bob
1,47,8,bob
1,37,11,bob
2,31,9,Bob
1,36,8,Bob
1,54,12,bob
2,51,8,Bob
2,51,2,A1
1,42,8,bob
2,47,8,Bob
2,43,2,Bob
1,57,9,telekom
1,64,3,telekom
2,58,2,Bob
2,62,4,bob
2,20,3,Simobil
2,27,12,T2
1,27,4,A1
2,18,8,Telekom Slovenije
2,21,2,Telemach
2,39,4,A1
1,46,9,Izimobil
2,32,11,T2
2,51,2,"T-2, d.o.o."
2,53,8,T2
2,43,8,A1
1,52,2,T2
1,44,4,Izi
2,53,12,t2
2,47,8,t2
1,35,2,Telenach
1,38,8,Telekom
1,45,7,telekom
1,57,9,Telemach
1,71,5,bob
2,68,9,Telekom
2,57,1,Mobitel
1,67,8,Telekom
2,72,2,T2
1,57,8,Telekom
1,75,12,A1
2,56,8,telemach
1,66,2,Telemach
2,69,8,BOB
2,66,8,T2
1,73,11,T2
1,64,4,T2
2,63,1,T2
1,58,9,Telekom Slovenije
2,59,9,t-2
2,60,9,T-2
1,60,8,T2
1,69,6,a1
1,60,8,t2
2,57,9,T2
2,68,9,Tv2
2,66,3,t2
1,65,11,telekom
2,21,8,Telemach
1,25,6,Telemach
2,23,8,Telemach
2,24,6,Telemach
1,25,8,telemach
2,29,8,Telekom
1,28,7,Telekom
2,21,8,Telemach
2,30,8,t2
1,26,4,Telekom
2,17,4,A1
2,19,2,T2
2,21,2,Telemach
2,19,8,Telemach
2,21,2,Telemach
1,22,9,Telemach
1,21,11,telemach
1,46,4,T2
2,39,6,A1
1,51,2,telemach
2,48,8,TELEMACH
1,39,5,A1
1,39,4,Telemach
1,53,8,A1
2,44,12,telemach
2,40,2,Mobitel
1,46,2,telemach
2,34,4,telemach
1,50,5,Telemach
1,40,8,telekom
2,53,7,Telemach
1,45,12,T2
2,52,7,A1
2,38,8,Telemach
2,31,8,Telemach
2,32,9,T-2
2,37,9,Telekom
1,45,8,telemach
2,35,8,Telemach
1,53,9,T2
1,50,8,Telemach
1,41,1,A1
2,46,7,Telemach
2,34,2,Telemach
1,51,8,a1
2,45,8,TELEKOM
1,47,4,Telemach
1,55,5,a1
1,37,8,Telemach
1,51,9,Telemach
1,39,1,TELEMACH
1,35,8,Telekom
2,47,4,Telemach
1,33,1,Telemach
2,44,12,Telemach
1,55,12,a1
1,33,2,Bob
1,33,3,A1
2,45,2,Telemach
2,42,3,A1
1,55,2,telemach
2,43,8,a1
1,41,1,telekom
1,72,8,T2
2,69,8,Telekom
2,61,6,T2
1,67,9,Telekom
1,72,4,Bob
2,68,1,TELEKOM
1,67,8,telemach
1,63,8,T-2
1,67,3,Telemah
1,59,8,t2
1,73,8,a1
1,75,2,Telemach
1,71,8,telekom
