Demo_spol,Demo_starost,Demo_regija,Q1a_1_other
1,69,12,a1
2,71,4,Telemach
1,63,2,T2
2,62,5,Telekom
2,65,2,telekom
2,65,4,Telekom
2,59,2,Telemach
2,59,12,Telemach
1,60,8,Telekom
1,70,4,telemach
2,70,4,Telekom
2,58,8,A1
1,61,8,Telemach
2,73,6,Telemach
1,59,7,A1
2,59,7,Telekom
2,70,9,Telekom
1,64,2,telemach
2,69,8,Telemach
1,61,8,A1
1,58,4,telemach
2,60,2,telekom
2,28,7,A1
1,28,7,A1
1,21,6,a1
1,29,8,Telemach
1,25,12,A1
2,24,10,A1
2,28,8,A1
1,16,7,A1
2,28,1,A1
2,21,2,A1
1,25,8,A1
2,17,12,A1
2,45,2,Telekom
2,38,4,a1
2,41,2,A1
2,33,6,A1
1,55,8,a1
2,33,9,a1
2,54,2,A1
2,49,2,Telemach
1,43,2,telekonm
2,45,7,A1
2,35,7,a1
2,48,8,a1
1,41,2,Telekom
2,42,8,A1
2,52,2,A1
1,38,12,a1
1,35,8,A1
2,47,7,Telemach
2,42,4,A1
1,35,9,A1
2,36,11,A1
2,35,8,Telekom
2,36,8,a1
2,53,12,Telecom
1,51,6,A1
1,39,8,Simobil
2,51,7,telecom
1,43,10,A1
1,34,4,Telekom
2,55,4,a1
2,54,12,A1
1,33,2,A1
1,39,8,T2
2,48,8,A1
1,55,2,Telemach
1,50,8,a1
2,66,2,A1
1,64,10,a1
2,72,6,A1
2,66,8,a1
2,66,8,A1
2,60,11,A1
2,58,4,TELEMACH
2,70,6,A 1
2,63,10,Telekom
2,66,8,A1
2,68,4,A1
1,67,6,a1
2,61,9,A1
1,60,8,A 1
1,60,9,a1
2,64,2,A1
2,57,3,A1
2,56,11,telekom
2,67,9,A1
2,60,8,a1
1,63,4,a1
2,59,2,a1
2,67,9,t-2
2,21,8,Telekom
2,25,8,Telekom
2,19,3,Telekom
2,28,8,Telemach
1,19,1,Telemah
2,23,8,Bob
2,26,6,Telekom
2,28,4,telemach
1,26,8,Telekom
1,29,8,Telemach
1,29,4,Amis
2,20,7,telekom
1,27,9,A1
1,19,7,Telekom
1,30,8,T-2
2,26,2,A1
1,30,1,Telekom
1,20,12,T2
1,24,7,A1
2,24,12,A1
2,23,8,/
1,17,8,telekom
1,20,2,Telekom
1,55,2,Telekom
1,38,10,A1
1,45,2,Telekom
1,37,11,Telekom
1,33,1,Bob
1,44,1,Telekom
1,40,6,T2
2,36,8,Telekom
1,31,8,Telekom
2,50,4,Telekom
2,35,5,Telekom Slovenije
1,37,2,Telekom
2,47,9,Telekom
1,51,7,Telecom
2,38,2,Telekom
2,33,5,Telekom
1,32,7,A1
1,50,6,a1
2,51,1,Telekom
2,44,2,Telemach
1,31,4,A1
1,34,1,Telekom
2,36,8,Telekom
2,47,8,telekom
1,52,6,BOB
2,43,2,Telekom
1,47,2,Telekom
1,42,2,Telekom
2,37,2,a1
2,34,4,Hofer
1,33,8,telekom
2,52,8,TELEKOM SLOVENIJE
1,53,8,T2
1,35,4,Telekom
1,39,8,Telekom
2,45,9,T2
2,43,10,Telekom
1,33,8,Telekom
1,46,9,TELEMACH
2,49,12,Telekom Slovenija
1,44,8,Telekom
2,61,5,Telemach
1,72,9,Telekom
1,71,7,Bob
2,57,12,Telekom
1,67,4,Telemach
1,63,8,telakom
1,63,4,telemah
2,71,2,Telekom
1,71,2,telekom
2,56,2,Telekom
1,65,4,Telekom
1,58,8,Telekom Slovenije
1,64,9,telekom
1,63,8,A1
2,62,2,Telekom
1,57,8,TELEKOM
1,59,8,Telekom
2,59,7,telekom
2,60,8,Telekom
2,67,8,Telemach
2,71,10,TELEKOM SLOVENIJE
2,67,1,A1
1,71,4,t2
1,56,4,Telemach
2,29,3,A1
1,30,2,Telemach
2,29,4,izimobil
1,16,8,Telemach
1,24,11,Zyzyt
1,19,1,Hofer
2,26,8,Telemach
2,19,12,Twlwkom
1,26,2,T2
2,17,4,Moj Telekom
2,29,7,Mobitel
2,27,6,BOB
1,29,8,Telemach
1,20,8,Telekom
2,27,2,A1
2,29,8,Telemach
1,23,7,Telemach
1,21,7,telekom
1,24,8,telemach
1,23,9,Telekom
1,21,12,A1
2,23,8,A1
2,24,6,Telekom
1,24,2,Telekom Slovenije
1,24,7,telekom
1,29,9,A1
1,24,11,Bob
2,26,8,bob
1,24,10,Bob
1,28,8,telekom
1,16,8,Samsung
1,23,8,T2
1,22,2,telekom
1,20,2,telemach
2,24,2,A1
1,30,2,Telemach
2,28,9,A1
1,23,9,bob
2,30,7,A1
1,18,8,T2
1,18,9,mobitel
1,23,2,telemach
1,28,6,Mobitel
2,26,11,Telekom
1,23,2,T2
2,21,8,hot hofer
1,26,9,izimobil
2,20,11,Telekom
1,20,4,Telemach
2,20,8,Hot Hofer
2,20,4,A1
2,24,11,Bob
1,20,4,t2
1,27,11,Telemach
1,28,8,a1
1,29,8,T2
1,25,4,A1
2,22,4,Telemach
1,28,1,Telemach
1,26,8,Telekom
1,29,1,Telekom
2,19,2,telemach
1,25,8,Hofer
2,30,1,Telemach
2,23,1,A1
2,23,1,T2
1,25,8,Telemach
2,21,8,Telemah
2,31,12,Telekom
2,43,9,t2
2,39,12,Telekom
2,43,4,Telekom
2,42,8,Telemach
2,54,8,Telemach
2,39,12,t2
2,49,7,A1
2,55,2,Telemach
1,37,7,telekom
1,40,2,Telekom Slovenije
1,50,3,A1
2,42,8,A1
2,35,7,A1
2,41,8,telekom
1,33,8,A1
2,49,4,telemach
2,47,2,Telemach
2,55,8,Bob
1,38,3,Bob
1,37,9,telekom
1,35,8,bob
2,40,4,A1
2,40,12,Telekom slovenije
2,47,9,A1
2,40,6,A1
2,43,8,telekom
2,37,9,telemach
2,48,3,A1
2,35,8,A1
1,31,5,a1
1,46,2,Telemach
1,55,8,Bob
1,45,8,Bob
1,38,8,T-2
1,45,4,Telekom
2,45,8,Hot
2,42,8,A1
1,39,2,A1
2,32,10,A1
1,48,2,simobil
1,31,1,Telemach
2,36,8,A1
1,38,2,Telekom
1,45,11,A1
1,42,3,telekom
2,50,8,Telemach
2,40,9,Telekom
1,41,11,Telekom
2,46,2,telekom
1,51,4,Telekom Slovenije
1,46,2,T2
2,47,8,telekom slovenije
2,39,7,telemach
2,37,9,A1
2,55,6,Telekom
2,45,11,Telemach
1,33,7,a1
2,52,9,Telemach
1,40,3,Telemach
2,44,12,Telemach
2,47,6,A1
1,33,8,A1
2,41,2,telekom
2,48,2,telemach
1,42,3,Telemach
1,54,2,t2
1,44,11,Telekom
2,45,6,a1
1,41,8,telemach
1,54,8,A1
1,50,3,Mobitel
2,52,6,TELEMACH
1,38,9,Telekom
1,39,5,A1
2,53,9,hofer
1,52,8,telemach
1,51,8,a1
2,45,9,A1
2,54,11,A1
2,55,2,Simobil
2,47,4,Telekom
1,43,11,Bob
1,51,8,Izi
1,43,12,A1
1,43,8,Bob
2,49,7,Hot
1,53,8,Telekom
2,55,2,Telemach
1,42,12,Hofer
1,47,4,t2
1,48,8,A1 Slovenia
2,54,8,Telemach
2,41,1,telekom
2,54,10,A1
1,40,8,telemach
1,47,4,T2
1,43,1,Telemach
1,52,2,A1
1,51,9,telekom
2,34,12,Telekom
1,41,8,A1
1,53,9,A1
2,46,1,Telekom
1,34,1,Telekom
1,46,8,Telekom
2,51,11,A1
2,51,2,Telekom
1,35,7,T2
2,43,4,telemach
1,46,6,t2
1,36,2,a1
1,49,10,A1
2,43,9,Telemach
1,44,8,A1
1,37,4,Telemach
1,32,9,Telemach
1,37,8,a1
2,54,2,Telekom
1,55,10,telekom
2,51,4,hofer
2,44,8,Telekom
2,53,4,Telemach
2,37,2,telekom
1,41,7,telekom slovenije
2,49,8,TELEKOM
2,43,4,T2
2,35,8,t2
1,31,8,telekom slovenije
1,38,5,telekom
2,49,4,Telekom
2,31,10,hot.si
1,55,4,Telemah
2,43,7,A1
2,32,12,telekom
1,44,2,Telemach
1,44,8,Telemach
2,33,2,Telemach
2,33,8,A1
1,43,8,Telemach
2,36,8,Telekom Slo
1,48,2,Telemah
2,34,7,telemach
1,55,4,Hofer Telekom
1,55,9,Telemach
1,51,4,Telekom
1,47,8,telemach
1,33,5,t2
2,33,5,bob
1,38,10,T2
1,55,8,t2
2,37,3,Telemach
1,51,1,bob
1,50,8,Telekom
1,35,9,T2
1,48,9,A1
2,32,5,A1
1,46,8,Telekom
1,44,8,A1
1,31,8,bob
1,64,2,Telekom
1,63,4,telemah
2,63,8,telekom
1,68,8,Telekom
2,59,12,a1
2,69,7,T2
1,67,5,Telekom
2,68,1,T2
1,68,1,bob
2,66,8,telekom
1,69,1,a1
1,59,2,Telemach
2,69,12,A1
1,56,8,telemach
2,68,2,T2
2,59,9,A1
1,59,2,Telekom
2,66,1,Telemach
2,71,4,Mobitel
2,58,8,Telekom
2,69,7,T2
2,67,8,Telemach
2,66,3,Telekom
1,57,8,Hofer mobil
2,60,8,Telemach
2,67,8,A1
1,59,2,A 1
2,66,9,Spar telekom
2,62,10,Telekom
1,66,2,telekom
2,64,8,A1
2,70,2,telemach
2,74,11,T-2
1,61,8,telemach
1,56,4,Telemach
2,58,2,Hot
2,67,4,Telekom
1,59,2,TELEMACH
2,72,5,telekom
2,63,7,A1
1,56,2,BOB
1,70,2,A1
2,65,8,Izimobil
2,73,4,telemach
2,68,3,telemach
2,71,2,Telekom
1,73,9,telekom
1,61,8,Telekom
2,68,8,Telekom
2,73,2,Telemach
1,67,2,telemach
2,58,8,A1
2,57,8,Tekekom
2,58,11,Bob
2,60,8,A1
2,64,5,Telekom
2,59,8,Telemach
2,64,8,Telekom
2,56,8,telekom
2,65,2,TELEMACH
1,60,4,TELEMACH
2,67,2,A1
2,57,5,TELEKOM
2,66,5,a1
1,72,12,T2
2,65,2,Telekom
2,59,11,A1
1,69,5,Mobitel
1,69,4,telekom
1,63,7,Telemach
1,56,2,Telekom
1,66,4,Telemach
2,65,9,Hot Hofer
1,61,1,telekom
1,57,9,Telemach
1,66,9,t-2
1,68,9,izi
1,68,11,telemah
2,62,8,A1
2,64,2,T2
2,56,11,t2
2,66,7,telekom
1,64,12,Telemach
2,68,2,T2
2,57,9,Hot
2,63,7,A1
2,69,8,telekom
2,58,12,Telekom
1,62,5,T-2
1,67,4,T2
1,58,2,Spar mobil
1,72,8,Mobitel
1,64,2,bob
2,67,12,Hot
2,72,8,A1
2,63,2,telemach
1,63,8,hot
1,69,1,telemach
1,65,9,T2
1,71,9,t-2
2,65,11,Bob
1,56,5,T-2
1,61,8,telekom
2,63,9,izi
1,64,1,telekom
2,58,2,A1
1,62,6,Mobitel
2,69,12,telekom
1,69,9,A1
2,66,9,telekom
1,63,8,telekom
1,70,10,T2
2,64,12,Telekon
1,65,6,telekom
1,59,8,Telekom
1,70,8,telemach
1,60,12,telekom
1,56,8,t2
1,67,1,Telemach
1,62,1,telekom
1,58,2,a1
1,67,8,BOB
1,32,8,Telemach
1,68,2,Telekom
1,39,4,Telekom slovenije
2,35,8,Telekom
2,75,7,Telekom
2,58,2,Bob
1,54,9,a1
2,63,2,telemach
2,43,9,Telemach
2,67,8,Telemach
2,49,7,a1
2,33,8,A1
2,66,9,A1
2,28,8,A1
1,44,8,Telekom Slovemije
2,29,2,telekom
2,21,2,Telekom
1,23,8,A1
2,45,6,Telemach
2,33,9,Telemach
2,68,4,Telekom
2,35,8,telemach
2,45,7,Telekom
1,43,8,Telekom
1,28,8,Bob
2,32,4,Telekom
1,75,2,A1
1,27,8,t-2
2,27,4,Telemach
1,54,1,t2
2,51,12,T-2
1,28,11,a1
2,34,3,Bob
2,23,8,Hot
2,23,4,Telekom Slovenije
1,28,4,Telekom
2,21,6,A1
1,40,2,Telekom
1,67,4,Bob
2,24,2,Telekom
1,47,8,A1
2,53,11,telemah
2,58,8,telekom
2,24,2,Telemach
1,71,9,t-2
2,68,2,Telekom
1,27,8,A1
1,61,12,Telekom
2,49,9,Telekom
1,63,8,hot
2,49,2,Telemach
2,65,9,Hot Hofer
2,65,11,A1
1,34,8,Telekom Slovenije
1,33,1,telemach
2,40,9,A1
2,49,4,telemach
2,42,1,Telekom
2,69,9,Telekom
1,43,4,A1
2,72,5,telekom
2,43,9,A1
2,38,11,Spar mobile
2,57,8,telekom
2,20,9,A1
1,41,1,A1
2,36,3,T2
1,49,10,A1
1,24,8,telekom
1,39,10,T-2
2,69,8,Telekom
1,33,6,A1
1,68,8,Telemach
1,49,6,hot
2,65,8,Telemach
2,52,9,telemach
1,35,3,telekom
2,45,8,Bob
1,20,2,telekom
2,34,4,A1
1,23,7,A1
1,21,2,t2
1,72,8,Mobitel
2,67,4,Telekom
1,41,8,telemach
2,70,11,Telekom
2,46,9,Telekom
1,20,2,A1
2,35,8,Bob
1,21,4,Telemach
2,71,4,Telemah
2,44,4,A2
2,71,4,T2
2,46,8,Telekom
2,69,12,telekom
2,40,9,Telekom
2,61,2,Telekom
2,32,7,T-2
2,34,9,A1
2,53,7,A1
2,37,8,T2
2,22,4,T-2
2,20,4,Telekom
2,36,7,Telekom
2,51,4,hofer
1,55,8,Telekom
1,20,6,A1
2,17,12,Telekom slovenije
1,68,2,Telemach
2,35,9,a1
1,42,11,A1
2,63,8,si.mobil
2,32,9,Telemach
1,40,7,A1
1,68,2,T2
2,43,4,Telekom
2,61,8,a 1
1,56,1,a1
2,62,10,t2
2,45,7,A1
2,22,2,Telekom Slovenija
2,21,9,A1
2,22,3,Telemach
1,67,2,A1
2,66,2,Telemach
1,43,8,Telekom
2,36,2,A1
2,68,1,Telekom
2,28,2,TELEKOM
2,21,6,T-2
2,66,7,telekom
2,25,3,A1
2,62,4,TELEKOM
1,58,2,a1
2,20,12,TELEMACH
1,38,5,telekom
1,26,8,Telekom
2,38,1,Telemach
2,69,12,T2
2,27,8,Bob
2,20,4,Telekom
2,24,9,A1
2,18,8,A1
2,28,11,Bob
1,24,7,A1
1,33,8,t2
2,39,8,a1
1,39,2,A1
2,21,8,telekom
2,56,2,A1
1,22,12,a1
2,42,4,a1
2,33,8,A1
2,67,12,Hot
1,70,8,A1
1,37,1,telemach
1,34,8,Telekom
2,33,8,Hofer
2,34,8,A1
2,46,7,T2
1,33,11,Telemach
2,32,3,A1
2,63,7,A1
2,66,8,Telemach
2,68,8,Telekom
1,45,11,A1
2,20,7,A1
1,71,3,Telekom
2,45,1,Telemach
1,59,2,telemach
2,63,8,TELEKOM
1,22,1,telekom
2,47,8,telemch
2,43,1,telekom
1,30,9,Bob
1,57,2,Spar mobil
1,38,8,Telekom Slovenije
1,51,4,telemach
2,53,11,Hofer
1,42,2,a1
1,69,1,Telekom
1,39,8,telekom
1,24,11,Bob
1,65,2,MOBITEL
2,42,12,A1
2,44,8,Telekom
1,62,12,A1
1,55,11,t21
1,38,9,A1
1,68,2,telemach
1,33,12,Telemah
1,26,5,Telekom
1,57,4,Telekom
2,42,3,A1
2,58,8,telekom
1,67,2,telekom
1,66,4,Telemach
1,66,9,TELEKOM
1,62,9,telekom
2,29,8,A1
1,42,9,A1
1,35,5,T2
1,57,2,telekom
1,28,8,a1
2,27,1,Bob
2,51,3,a1
1,56,8,mobitel
1,37,4,Hot
2,47,9,Telemach
1,25,6,Telekom Slovenije
2,33,2,a1
2,60,8,A1
1,61,11,telekom
1,25,8,Bob
2,61,1,Telemach
1,25,8,Simobil
1,68,1,Telemach
2,67,12,T2
1,70,8,telemah
2,20,2,Telemach
1,29,9,telemach
1,27,4,A1
2,44,8,A1
2,52,9,a1
1,65,5,a1
1,34,2,telekom
2,20,9,T2
1,24,11,a1
1,28,2,Telekom
1,33,4,A1
1,23,9,T2
1,51,8,Telekom Slovenije
2,47,5,Telekom
1,41,8,A1
2,38,9,Telemach
1,50,7,Telekom
2,29,2,Telemach
2,55,2,Telemach
1,42,8,Hot
2,66,3,Telekom
2,49,9,a1
2,73,2,Telemach
1,33,6,Telemach
2,53,4,a1
1,64,12,T2
2,48,8,Telemach
2,48,8,Telemach
2,54,1,telemach
1,55,4,Hofer Telekom
1,64,9,T2
1,59,2,Telekom
1,56,4,Telemach
1,44,11,Hot
1,51,9,Telekom
2,54,8,Telemach
2,48,2,IZIMOBIL
2,42,8,Telemach
1,23,9,Telemach
2,23,1,Telemach
2,65,2,TELEMACH
1,50,7,A1
1,63,4,telemah
1,59,2,Telemach
1,58,2,A1
1,54,8,Telekom
1,45,6,telekom
1,46,2,T2
1,44,8,Telekom
2,50,4,Telemach
2,53,4,a1
1,51,8,A1
1,50,10,Telekom
1,52,10,A1
2,29,5,A1
1,55,2,Telekom
1,52,4,A1
1,51,3,telekom
1,61,8,A1
1,19,2,A1
2,35,4,telemach
2,57,8,a1
2,39,5,Telekom
1,62,6,Mobitel
1,65,2,telekom
2,53,8,TELEKOM
1,24,10,Telemach
1,18,9,t2
1,39,8,123
1,47,6,A1
2,57,6,Telekom
1,70,8,t2
1,56,8,a1
2,43,4,a1
1,69,8,T-2
2,53,4,Telekom
1,44,7,Telekom Slovenije
1,28,2,A1
1,33,8,Telemach
1,22,2,Telekom
1,23,2,telemach
2,71,2,telemach
2,54,2,Telekom
2,41,4,T2
1,31,8,telekom slovenije
1,29,2,A1
2,59,11,A1
2,31,8,Telekom
2,63,4,hot
1,52,2,Telekom
1,35,4,A1
2,36,7,A1
1,46,2,A1
1,33,2,t2
1,18,11,T2
1,21,7,telekom
1,50,9,Re do
1,46,8,Telekom
1,40,6,Telekom
1,19,8,Telemach
2,27,2,Telekom
1,42,12,Telekom
2,29,7,Telemach
1,51,4,Telekom
1,20,9,bob
1,43,2,T2
1,43,1,Bob
1,67,9,telekom
1,65,2,telekom
1,46,2,telemach
1,20,4,Telemach
1,50,7,A1
1,53,2,t2
1,63,8,telekom
1,50,12,t2
1,45,12,Hofer
2,52,8,Telemach
2,57,9,A1
1,40,7,A1
1,58,5,Hot
2,67,8,T2
2,67,9,Telemach
2,59,4,A1
1,56,2,Telemach
1,60,2,A1
